pair_id,room_type,split,base_clip_t,lora_clip_t,base_aesthetic,lora_aesthetic,base_clipiqa_quality,lora_clipiqa_quality,base_clipiqa_realism,lora_clipiqa_realism,base_ssim_input,lora_ssim_input,base_dino_input,lora_dino_input,prompt_colors,base_palette_prompt,lora_palette_prompt,base_palette_hits,lora_palette_hits,base_palette_target,lora_palette_target,base_palette_deltaE,lora_palette_deltaE,lora_closer_palette,base_clip_i_target,lora_clip_i_target,base_dino_target,lora_dino_target,base_lpips_target,lora_lpips_target,lora_closer_clip_i,lora_closer_dino,lora_closer_lpips
bathroom__bd98af46d2f2e69f13,bathroom,train,0.34526628255844116,0.33121663331985474,3.2304978370666504,3.0437934398651123,0.9089817763269282,0.9373862478193632,0.9992953790170673,0.9999111199186098,0.22829237461411606,0.23209325553284893,0.48416078090667725,0.5379674434661865,gray;charcoal;black;wood;rust,1.0,0.8,gray;charcoal;black;wood;rust,gray;charcoal;black;wood,0.646183463304751,0.7141939947583378,10.91679541489582,8.4150163051117,True,0.830344557762146,0.8141670227050781,0.5991577506065369,0.6525121331214905,0.6393775939941406,0.635043740272522,False,True,True
dining_room__1054f9fcfaf0464936,dining_room,train,0.3278152048587799,0.3359561264514923,3.101456642150879,2.6913652420043945,0.9640509820765275,0.9072210829431946,0.9998682550890542,0.9999674477679137,0.3469576309897693,0.3625637903216746,0.18780186772346497,0.18687394261360168,white;beige;wood,1.0,1.0,white;beige;wood,white;beige;wood,0.7576009021216442,0.7491927705664335,6.939963658712787,7.218973949908903,False,0.7204043865203857,0.7646459937095642,0.3224666118621826,0.29016077518463135,0.5566994547843933,0.5936296582221985,True,False,False
entryway__fa09eaa0b82b8a58c6,entryway,train,0.3606826961040497,0.37800198793411255,2.884521722793579,2.8791632652282715,0.970186443326295,0.9913493562649872,0.9993661040086065,0.999948660868791,0.2647957145177807,0.28249547203139524,0.2320275902748108,0.19620725512504578,white;black;oak;wood;red,0.8,0.8,white;black;oak;wood,white;black;oak;wood,0.722579148629316,0.790291346449181,8.12320791799135,5.8838402133709184,True,0.7748027443885803,0.8225525617599487,0.5271430611610413,0.49446505308151245,0.5876531600952148,0.5810205340385437,True,False,True
game_room__fde132b90d574b8a44,game_room,train,0.38075047731399536,0.37391799688339233,1.933244228363037,2.149442672729492,0.9231410574040738,0.9563668918527141,0.9999851605586589,0.9999790637484179,0.5666727029692318,0.4906674578994294,0.30347374081611633,0.3214080333709717,gray;wood,0.5,1.0,gray,gray;wood,0.7671605368585216,0.7668924045658807,6.626479865395164,6.635219208351688,False,0.8656569123268127,0.8718076944351196,0.702707052230835,0.6821736097335815,0.6163378357887268,0.5976001024246216,True,False,True
living_room__e21f1bafadc124b825,living_room,train,0.3640928268432617,0.34832078218460083,2.881197929382324,3.1350862979888916,0.9796369189768709,0.9456582461926184,0.9999025223180529,0.99942074238894,0.5014566423234414,0.3759145696349393,0.35951289534568787,0.2505660653114319,white;cream;black;oak;red;brass,0.8333333333333334,0.8333333333333334,white;cream;black;oak;brass,white;cream;black;oak;brass,0.7598106125857407,0.7704012913192321,6.867151768046661,6.5210935583099605,True,0.7970252633094788,0.839964747428894,0.5797658562660217,0.640968918800354,0.6267447471618652,0.61152184009552,True,True,True
bedroom__680f241ff29c9c9016,bedroom,train,0.4250856339931488,0.4117647409439087,2.6744613647460938,3.0762417316436768,0.7090058158526349,0.6065640737638781,0.9998184830190883,0.999673249201071,0.36561492343635893,0.31479097043003734,0.12325802445411682,0.0631171390414238,white;red,0.5,0.5,white,white,0.786884147984656,0.7702738741581833,5.991856213397336,6.5252286662222065,False,0.7113685607910156,0.709435760974884,0.21992909908294678,0.18111613392829895,0.6219950318336487,0.6115630865097046,False,False,True
kitchen__2566ae3554fd40716b,kitchen,train,0.32107383012771606,0.3164288103580475,2.9192023277282715,2.903412103652954,0.8701721714701094,0.9376270287616053,0.993322988556861,0.9991682055508168,0.30033681636951326,0.298193448498782,0.7115076780319214,0.7425822615623474,white;gray;wood,0.6666666666666666,0.6666666666666666,white;gray,white;gray,0.8519138302297885,0.8281618135347119,4.006747387389613,4.713667917898782,False,0.6910236477851868,0.6988047361373901,0.6919419169425964,0.7550783157348633,0.5460138320922852,0.53862464427948,True,True,True
bathroom__e80883dfda6c1bc7fe,bathroom,train,0.3321223855018616,0.3413775563240051,3.6442065238952637,3.3262434005737305,0.9899850194420794,0.9678068144793034,0.9998127289719705,0.9999180315854767,0.3815698575846339,0.3147263031267939,0.3314549922943115,0.2006264328956604,white;grey,1.0,1.0,white;grey,white;grey,0.8576974016578306,0.8568822272390483,3.83759801051045,3.8613698571620865,False,0.7293479442596436,0.7311849594116211,0.2571839690208435,0.3431779742240906,0.6490859389305115,0.6063738465309143,True,True,True
dining_room__2e3a34ade3a9567377,dining_room,train,0.36147183179855347,0.3548530340194702,3.04030179977417,2.0700371265411377,0.9286294841514238,0.9443820753253873,0.9999792585959523,0.9999286781448801,0.21920718162325914,0.22836851785866852,0.31392788887023926,0.3386489152908325,white;brown;wood;rust;mustard,1.0,1.0,white;brown;wood;rust;mustard,white;brown;wood;rust;mustard,0.6890209144932337,0.7546845539030584,9.312091339421979,7.036385660992536,True,0.6556146144866943,0.7103104591369629,0.20677855610847473,0.3183204233646393,0.6174368858337402,0.5643085241317749,True,True,True
entryway__b2e27c21e115b8156e,entryway,train,0.3339516818523407,0.31756341457366943,1.7112414836883545,2.485764741897583,0.9629071956797677,0.9739007455832415,0.9919990870116789,0.9997744658192826,0.36965923017728436,0.28980035267992965,0.6991868019104004,0.7181070446968079,greige;oak;wood,1.0,1.0,greige;oak;wood,greige;oak;wood,0.6854969956388387,0.6821155176603904,9.440279067975052,9.563906368706542,False,0.8136098384857178,0.8089824318885803,0.8104947209358215,0.8313313126564026,0.6014149188995361,0.6166317462921143,False,True,False
living_room__0ac9e10de57dbcb1ed,living_room,train,0.40940675139427185,0.3884694576263428,2.2186262607574463,1.7997897863388062,0.9911436827682073,0.9850314778684719,0.9999713984724189,0.9998308145791275,0.2481538125170599,0.2232407525445647,0.5049551725387573,0.4129115045070648,wood;teal;brass,0.3333333333333333,0.3333333333333333,teal,teal,0.6225438185428176,0.6342714827151715,11.848531547179476,11.38195525059156,True,0.796436071395874,0.7736965417861938,0.5055900812149048,0.35935935378074646,0.5989959836006165,0.5738315582275391,False,False,True
